ISO,Year,suicideRateTotal,suicideRateMale,suicideRateFemale,unemploymentPTotal,unemploymentPMale,unemploymentPFemale,MeanPPP_Month,MedianPPP_Month,WattsIndex,GiniIndex,MLDIndex,GDP,TotalAlcoholConsumption,WineConsumption,SpiritsConsumption,BeerConsumption,RatioAtNationalPovertyLine,PsychiatristsRate,PsychologistsRate,SocialWorkersRate,NursesRate,incomeLevel,GrossNationalIncome
LU,2019,8.62,11.81,5.43,5.60,5.65,5.53,2335.50,1923.23,0.15,35.37,22.8110,115480.87,11.00,4.73,2.14,4.04,17.50,17.821,0,0,0,3,0
LV,2019,16.06,29.01,4.56,6.31,7.20,5.43,882.65,715.28,0.24,35.10,21.8158,17885.43,12.90,1.70,5.30,4.90,22.90,9.987,0,0,22.834,3,17740
LY,2019,4.49,6.11,2.90,18.34,15.35,24.13,0,0,0,0,0,4810.08,0.01,0.01,0.00,0.00,0,0,0,0,0,2,7640
MA,2019,7.29,10.07,4.70,9.01,8.54,10.47,310.10,226.36,0.20,39.55,25.8867,3282.01,0.51,0.24,0.09,0.18,4.80,0.839,0.575,0.646,2.451,1,3200
MD,2019,12.17,22.14,3.29,5.10,5.80,4.35,299.21,261.13,0.00,25.66,10.6886,2956.88,7.45,3.57,2.25,1.53,7.30,4.550,0.910,0.492,14.830,2,4580
ME,2019,16.22,25.38,7.88,15.12,14.68,15.69,466.43,383.00,1.15,38.49,30.5554,8825.34,9.91,2.68,3.22,3.83,24.50,8.278,0,1.114,18.307,2,9070
MG,2019,9.18,13.33,5.42,1.67,1.63,1.70,45.33,31.88,66.03,42.65,30.9529,522.99,0.89,0.07,0.32,0.50,70.70,0.058,0.062,0.050,0.314,0,510
MK,2019,7.15,10.98,3.53,17.26,16.48,18.39,366.14,331.79,1.75,32.96,21.3739,6093.15,3.90,1.03,0.90,1.93,21.60,14.428,2.405,1.443,0,2,5840
ML,2019,7.96,10.46,5.70,7.24,6.53,8.20,71.80,57.47,21.24,33.04,17.7840,886.79,0.60,0.00,0.02,0.09,42.10,0.029,0.011,0,0.092,0,870
MM,2019,2.96,5.09,1.09,0.50,0.44,0.59,191.34,159.10,0.24,30.70,15.5311,1420.74,2.06,0.02,1.55,0.50,24.80,0.384,0,0.013,0.321,1,1360
MN,2019,18.02,31.11,5.62,5.31,5.77,4.75,286.47,235.27,0.06,32.74,17.6722,4295.24,5.46,1.46,1.82,2.18,28.40,4.031,0.101,0.101,4.199,1,3790
MR,2019,5.47,7.39,3.85,10.13,9.50,11.52,174.56,146.71,1.80,32.62,17.9774,1677.92,0.00,0.00,0.00,0.00,31.00,0.072,0.143,0,0.215,1,1660
MT,2019,5.32,8.35,2.25,3.40,3.24,3.61,1410.25,1244.08,0.08,28.67,14.1491,33752.37,8.07,2.34,2.51,2.80,17.10,0,0,0,0,3,28340
